Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,96.400002,98.510002,95.949997,97.790001,94.466072,1352200
2019-01-03,96.699997,97.309998,91.879997,92.550003,89.404190,2807800
2019-01-04,94.800003,99.919998,94.500000,98.760002,95.403107,2261400
2019-01-07,99.669998,102.709999,98.809998,101.830002,98.368744,2150300
2019-01-08,103.739998,104.809998,102.529999,103.930000,100.397377,1882300
2019-01-09,104.620003,105.080002,103.050003,104.360001,100.812752,1454000
2019-01-10,103.400002,105.400002,102.209999,104.900002,101.334396,1670800
2019-01-11,104.099998,106.449997,103.949997,106.419998,102.802727,1305600
2019-01-14,105.029999,105.970001,104.250000,104.970001,101.402023,1131700
2019-01-15,105.410004,105.790001,103.489998,105.620003,102.029930,1452700
2019-01-16,105.680000,106.739998,105.010002,105.660004,102.068573,1169400
2019-01-17,104.949997,107.690002,104.820000,107.040001,103.401657,1059200
2019-01-18,108.070000,110.160004,107.610001,109.349998,105.633141,1877500
2019-01-22,109.010002,109.779999,107.839996,108.629997,104.937607,2066400
2019-01-23,109.010002,110.400002,106.889999,108.309998,104.628487,1505900
2019-01-24,108.839996,109.830002,108.279999,109.750000,106.019554,965800
2019-01-25,111.000000,111.919998,110.360001,111.739998,107.941902,1214100
2019-01-28,110.629997,112.669998,110.300003,112.209999,108.395927,1470700
2019-01-29,112.040001,112.910004,111.169998,112.050003,108.241371,2305700
2019-01-30,116.849998,121.430000,116.500000,120.980003,116.867836,4819900
2019-01-31,120.669998,121.459999,119.199997,120.050003,115.969444,2551900
2019-02-01,120.540001,121.000000,117.839996,118.309998,114.288582,2042400
2019-02-04,118.309998,119.500000,117.879997,119.000000,114.955124,1402600
2019-02-05,119.360001,120.260002,117.699997,118.220001,114.201653,2070000
2019-02-06,116.949997,118.510002,116.910004,118.150002,114.134026,2856100
2019-02-07,117.400002,117.400002,114.400002,115.680000,111.747986,1688800
2019-02-08,114.330002,115.769997,112.809998,114.839996,110.936531,2122500
2019-02-11,116.110001,117.099998,115.639999,116.099998,112.153709,1569200
2019-02-12,116.650002,116.820000,115.339996,116.290001,112.337257,1771400
2019-02-13,117.760002,118.739998,117.419998,117.839996,113.834557,1296400
2019-02-14,117.000000,117.589996,115.989998,117.220001,113.235634,971000
2019-02-15,117.900002,118.419998,117.239998,117.970001,113.960144,1325500
2019-02-19,117.580002,120.730003,117.580002,119.360001,115.302902,1935300
2019-02-20,119.459999,121.290001,119.230003,120.830002,116.722939,1119600
2019-02-21,123.029999,124.250000,120.510002,120.970001,116.858185,1974000
2019-02-22,121.029999,121.440002,120.349998,120.930000,116.819534,838200
2019-02-25,121.790001,121.790001,120.470001,120.559998,116.462112,872900
2019-02-26,120.019997,120.790001,119.389999,119.660004,115.592705,909600
2019-02-27,119.000000,119.919998,117.209999,118.459999,114.433487,1267700
2019-02-28,118.209999,119.430000,117.290001,118.480003,114.452812,1059300
2019-03-01,119.970001,121.250000,118.610001,119.029999,114.984116,1378900
2019-03-04,119.190002,119.699997,116.510002,117.680000,113.680000,1278600
2019-03-05,118.150002,119.970001,118.029999,119.410004,115.351196,1189600
2019-03-06,118.610001,119.279999,117.000000,117.089996,113.777031,1050100
2019-03-07,117.029999,117.099998,115.000000,115.709999,112.436081,1775200
2019-03-08,115.000000,116.669998,114.559998,116.540001,113.242599,1048000
2019-03-11,116.650002,117.300003,116.220001,116.879997,113.572968,740900
2019-03-12,117.339996,117.339996,115.370003,116.290001,112.999680,902800
2019-03-13,116.980003,118.849998,116.320000,117.120003,113.806183,995600
2019-03-14,117.040001,117.279999,115.470001,116.449997,113.155136,991600
2019-03-15,116.839996,118.449997,116.769997,117.180000,113.864487,1142000
2019-03-18,117.629997,118.730003,117.379997,118.300003,114.952797,1309100
2019-03-19,118.949997,119.449997,116.970001,117.440002,114.117134,1084200
2019-03-20,117.099998,117.099998,115.199997,116.000000,112.717873,1548000
2019-03-21,115.570000,118.010002,115.279999,117.769997,114.437790,728200
2019-03-22,117.279999,117.449997,115.129997,115.580002,112.309761,1423000
2019-03-25,115.169998,115.599998,113.860001,114.500000,111.260315,1559000
2019-03-26,111.800003,115.809998,111.339996,113.110001,109.909645,2616100
2019-03-27,113.470001,113.750000,110.629997,110.989998,107.849632,1860000
2019-03-28,111.290001,112.769997,110.739998,112.449997,109.268311,1342500
2019-03-29,112.830002,114.820000,112.540001,114.620003,111.376923,1558500
2019-04-01,115.790001,117.169998,115.309998,115.610001,112.338905,1615500
2019-04-02,115.610001,116.510002,115.169998,116.260002,112.970512,1090700
2019-04-03,116.959999,117.059998,115.559998,116.629997,113.330048,981900
2019-04-04,117.010002,117.010002,115.629997,115.870003,112.591560,763400
2019-04-05,115.839996,117.480003,115.839996,117.269997,113.951942,911800
2019-04-08,117.279999,118.949997,116.919998,118.419998,115.069405,1843100
2019-04-09,117.540001,118.309998,115.010002,115.320000,112.057121,1229000
2019-04-10,115.839996,116.760002,115.580002,116.510002,113.213448,1015600
2019-04-11,116.870003,119.019997,116.860001,118.940002,115.574699,1264400
2019-04-12,119.779999,122.059998,119.570000,121.940002,118.489807,1757200
2019-04-15,122.379997,122.519997,121.540001,122.459999,118.995102,1550700
2019-04-16,123.300003,124.379997,122.860001,124.110001,120.598412,1654000
2019-04-17,124.639999,124.809998,123.070000,123.239998,119.753029,1982700
2019-04-18,123.610001,123.900002,119.510002,120.989998,117.566689,2415400
2019-04-22,120.059998,120.779999,119.750000,120.410004,117.003105,1351200
2019-04-23,120.980003,122.559998,120.500000,122.480003,119.014526,1235900
2019-04-24,122.739998,122.739998,120.099998,121.500000,118.062263,1235100
2019-04-25,121.139999,121.879997,120.209999,120.760002,117.343201,1142300
